B,den,N,Band
8.404040404040405,1.2193932211686232e+16,2.0,0.0
8.565656565656566,1.2384242994657488e+16,2.0,0.0
8.727272727272728,1.2522329529080306e+16,2.0,0.0
8.88888888888889,1.2558450976184674e+16,2.0,0.0
9.050505050505052,1.246933439002894e+16,2.0,0.0
9.212121212121213,1.2287623459072394e+16,2.0,0.0
9.373737373737374,1.2092702425729638e+16,2.0,0.0
9.535353535353536,1.1963747283443436e+16,2.0,0.0
9.696969696969697,1.1938423450674956e+16,2.0,0.0
9.85858585858586,1.2008806512410664e+16,2.0,0.0
10.02020202020202,1.2144412424517498e+16,2.0,0.0
10.181818181818183,1.2315326155064424e+16,2.0,0.0
10.343434343434344,1.2502006647166916e+16,2.0,0.0
10.505050505050505,1.2694638012100218e+16,2.0,0.0
10.666666666666668,1.2889202114429204e+16,2.0,0.0
10.828282828282829,1.3084314133844856e+16,2.0,0.0
10.989898989898991,1.3279563188438728e+16,2.0,0.0
11.151515151515152,1.3474841855584116e+16,2.0,0.0
11.313131313131315,1.3670121791568212e+16,2.0,0.0
11.474747474747476,1.3865382498048092e+16,2.0,0.0
11.636363636363637,1.4060567639369342e+16,2.0,0.0
11.7979797979798,1.4255501793195484e+16,2.0,0.0
11.95959595959596,1.4449697769508886e+16,2.0,0.0
12.121212121212123,1.4641967528238048e+16,2.0,0.0
12.282828282828284,1.4829769713690746e+16,2.0,0.0
12.444444444444445,1.500833748737728e+16,2.0,0.0
12.606060606060607,1.516984482453186e+16,2.0,0.0
12.767676767676768,1.5303102369349836e+16,2.0,0.0
12.92929292929293,1.5394340354995604e+16,2.0,0.0
13.090909090909092,1.5429363037187192e+16,2.0,0.0
13.252525252525254,1.5396759370777834e+16,2.0,0.0
13.414141414141415,1.5291206587430336e+16,2.0,0.0
13.575757575757576,1.5115614898238476e+16,2.0,0.0
13.737373737373739,1.4881183698869162e+16,2.0,0.0
13.8989898989899,1.4605256726353128e+16,2.0,0.0
14.060606060606062,1.4307747095483596e+16,2.0,0.0
14.222222222222223,1.4007393621144436e+16,2.0,0.0
14.383838383838386,1.3719004459331648e+16,2.0,0.0
14.545454545454547,1.3452283118693452e+16,2.0,0.0
14.707070707070708,1.3212157879670008e+16,2.0,0.0
14.86868686868687,1.3000064514382596e+16,2.0,0.0
15.030303030303031,1.2815499489831686e+16,2.0,0.0
15.191919191919194,1.2657311229857224e+16,2.0,0.0
15.353535353535355,1.2524475057060112e+16,2.0,0.0
15.515151515151516,1.2416353939960226e+16,2.0,0.0
15.676767676767678,1.2332600458222472e+16,2.0,0.0
15.83838383838384,1.22728963999459e+16,2.0,0.0
16.0,1.2236690198176372e+16,2.0,0.0
0.0,,3.0,0.0
0.16161616161616163,435048230138766.5,3.0,0.0
0.32323232323232326,1069591661659716.1,3.0,0.0
0.48484848484848486,1580717279191447.2,3.0,0.0
0.6464646464646465,2123448790154047.0,3.0,0.0
0.8080808080808082,2643318095286907.5,3.0,0.0
0.9696969696969697,3156399631381567.5,3.0,0.0
1.1313131313131315,3601665420366073.5,3.0,0.0
1.292929292929293,3980342513046324.0,3.0,0.0
1.4545454545454546,4377910092132953.5,3.0,0.0
1.6161616161616164,4648708318652025.0,3.0,0.0
1.777777777777778,4969319511005082.0,3.0,0.0
1.9393939393939394,5374048386188776.0,3.0,0.0
2.101010101010101,5752426825919065.0,3.0,0.0
2.262626262626263,6033775170674301.0,3.0,0.0
2.4242424242424243,6288841821468429.0,3.0,0.0
2.585858585858586,6610427422765029.0,3.0,0.0
2.747474747474748,7001733343712738.0,3.0,0.0
2.909090909090909,7393302687275546.0,3.0,0.0
3.070707070707071,7764969381222865.0,3.0,0.0
3.2323232323232327,8121210671030927.0,3.0,0.0
3.393939393939394,8482502394578189.0,3.0,0.0
3.555555555555556,8782794000888402.0,3.0,0.0
3.7171717171717176,9012592030359238.0,3.0,0.0
3.878787878787879,9224700925758136.0,3.0,0.0
4.040404040404041,9469704354744136.0,3.0,0.0
4.202020202020202,9814012535897748.0,3.0,0.0
4.363636363636364,1.0108786370238212e+16,3.0,0.0
4.525252525252526,1.0416729324115342e+16,3.0,0.0
4.686868686868687,1.0797616817287002e+16,3.0,0.0
4.848484848484849,1.1136939234647074e+16,3.0,0.0
5.01010101010101,1.1506168880009172e+16,3.0,0.0
5.171717171717172,1.1490190663355614e+16,3.0,0.0
5.333333333333334,1.1547056708024628e+16,3.0,0.0
5.494949494949496,1.1445955678992648e+16,3.0,0.0
5.6565656565656575,1.1260193047621652e+16,3.0,0.0
5.818181818181818,1.1315734930526938e+16,3.0,0.0
5.97979797979798,1.1570004077219118e+16,3.0,0.0
6.141414141414142,1.187615049564685e+16,3.0,0.0
6.303030303030304,1.2186180599427842e+16,3.0,0.0
6.464646464646465,1.2476501972868024e+16,3.0,0.0
6.626262626262627,1.2674080480881754e+16,3.0,0.0
6.787878787878788,1.2665118778219628e+16,3.0,0.0
6.94949494949495,1.2450291557149532e+16,3.0,0.0
7.111111111111112,1.2191433247511228e+16,3.0,0.0
7.272727272727273,1.2003510806647938e+16,3.0,0.0
7.434343434343435,1.1869608611403938e+16,3.0,0.0
7.595959595959597,1.1762635763876842e+16,3.0,0.0
7.757575757575758,1.1705042626257038e+16,3.0,0.0
7.91919191919192,1.1727165071490458e+16,3.0,0.0
8.080808080808081,1.183186809696709e+16,3.0,0.0
8.242424242424244,1.1997734194765118e+16,3.0,0.0
8.404040404040405,1.2193932211686232e+16,3.0,0.0
8.565656565656566,1.2384242994657488e+16,3.0,0.0
8.727272727272728,1.2522329529080306e+16,3.0,0.0
8.88888888888889,1.2558450976184674e+16,3.0,0.0
9.050505050505052,1.246933439002894e+16,3.0,0.0
9.212121212121213,1.2287623459072394e+16,3.0,0.0
9.373737373737374,1.2092702425729638e+16,3.0,0.0
9.535353535353536,1.1963747283443436e+16,3.0,0.0
9.696969696969697,1.1938423450674956e+16,3.0,0.0
9.85858585858586,1.2008806512410664e+16,3.0,0.0
10.02020202020202,1.2144412424517498e+16,3.0,0.0
10.181818181818183,1.2315326155064424e+16,3.0,0.0
10.343434343434344,1.2502006647166916e+16,3.0,0.0
10.505050505050505,1.2694638012100218e+16,3.0,0.0
10.666666666666668,1.2889202114429204e+16,3.0,0.0
10.828282828282829,1.3084314133844856e+16,3.0,0.0
